imdbId,title,releaseYear,releaseDate,genre,actors,directors,sequel,hitFlop
tt0299108,Rehnaa Hai Terre Dil Mein,2001,19-Oct-01,Musical,Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee,Gautham Menon,0,2
tt0300028,Indian,2001,26-Oct-01,Action | Crime | Drama,Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal,N. Maharajan,0,6
tt0301179,Deewaanapan,2001,16-Nov-01,Romance |Drama,Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri,Ashu Trikha,0,2
tt0301240,Moksha: Salvation,2001,30-Nov-01,Drama | Thriller,Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi,Ashok Mehta,0,1
tt0301250,Tera Mera Saath Rahen,2001,07-Nov-01,Drama,Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra,Mahesh Manjrekar,0,1
tt0302524,Ehsaas: The Feeling,2001,30-Nov-01,Drama,Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor,Mahesh Manjrekar,0,1
tt0303187,Veer Savarkar,2001,N/A,Biography | Drama,Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje,Ved Rahi,0,1
tt0305173,Aamdani Atthanni Kharcha Rupaiya,2001,21-Dec-01,Comedy,Govinda | Juhi Chawla | Tabu | Chandrachur Singh,K. Raghavendra Rao | A.S. Ravindra Babu,0,3
tt0305455,Pitaah,2002,04-Jan-02,Action | Drama,Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde,Mahesh Manjrekar,0,2
tt0306434,Aankhen,2002,27-Mar-02,Comedy | Thriller | Crime,Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal,Vipul Amrutlal Shah,0,4
tt0306840,Koi Mere Dil Se Poochhe,2002,11-Jan-02,Musical | Romance | Thriller,Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque,Vinay Shukla,0,2
tt0306855,Style,2001,28-Dec-01,Musical | Comedy,Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma,N. Chandra,0,5
tt0307116,Maa Tujhhe Salaam,2002,25-Jan-02,Action | Drama,Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma,Tinnu Verma,0,3
tt0307682,Yeh Dil Aashiqanaa,2002,N/A,Action | Romance,Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi,Sandesh Kohli,0,4
tt0307866,Filhaal...,2002,01-Feb-02,Drama,Tabu | Sushmita Sen | Sanjay Suri | Palash Sen,Meghna Gulzar,0,1
tt0308347,Haan Maine Bhi Pyaar Kiya,2002,15-Feb-02,Musical | Romance,Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan,Dharmesh Darshan,0,2
tt0309087,Yeh Mohabbat Hai,2002,08-Feb-02,Action | Romance,Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell,Umesh Mehra,0,1
tt0310254,Tumko Na Bhool Paayenge,2002,24-Feb-02,Action | Drama | Mystery,Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena,Pankaj Parashar,0,2
tt0311411,Kranti,2002,27-Mar-02,Drama,Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri,Naresh Malhotra,0,2
tt0312664,Escape from Taliban,2003,14-Feb-03,Drama | Thriller | War,Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi,Ujjwal Chatterjee,0,1
tt0312883,Kya Yehi Pyaar Hai,2002,10-Apr-02,Comedy | Musical | Romance,Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma,K. Muralimohana Rao,0,4
tt0313395,Kitne Door... Kitne Paas,2002,01-May-02,Comedy | Romance,Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania,Mehul Kumar,0,1
tt0313743,Vadh,2002,29-Mar-02,Mystery | Thriller,Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul,Nana Patekar,0,1
tt0313844,16-Dec,2002,22-Mar-02,Action | Drama | Mystery,Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma,Mani Shankar,0,4
tt0314006,Dum,2003,24-Jan-03,Crime,Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi,Eeshwar Nivas,0,2
tt0314008,Durga,2002,"28 Feb,2002",Action |Crime,J.D. Chakravarthi | Snehal Dabi | Jayaprakash | Priyanka,J.D. Chakravarthi,0,1
tt0314186,Humko Tumse Pyaar Hai,2006,24-Feb-06,Romance | Thriller,Arjun Rampal | Ameesha Patel | Bobby Deol | Achint Kaur,Bunty Soorma,0,1
tt0315632,Road,2002,27-Sep-02,Thriller,Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde,Rajat Mukherjee,0,3
tt0315767,Angaar: The Fire,2002,N/A,Action,Vinay Anand | Rana Jung Bahadur | Rajat Bedi | Sanober Kabir,Ajay Kashyap,0,1
tt0315777,Ansh: The Deadly Part,2002,02-Apr-02,Musical | Action,Om Puri | Ashutosh Rana | Abbas | Sharbani Mukherji,Rajan Johri,0,1
tt0316154,Lal Salaam,2002,03-May-02,Musical | Action | Drama,Nandita Das | Sharad S. Kapoor | Makrand Deshpande | Vijay Raaz,Gaganvihari Borate,0,1
tt0316911,Yeh Kaisi Mohabbat,2002,31-May-02,Musical | Drama | Romance,Krishna Abhishek | Viveka Babajee | Sheeba Bhakri | Deeksha,Dinkar Kapur,0,1
tt0317811,Kasam,2001,20-Nov-01,Adventure | Drama | Crime,Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam,Shibu Mitra,0,2
tt0319020,Awara Paagal Deewana,2002,21-Jun-02,Action | Comedy | Crime,Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani,Vikram Bhatt,0,4
tt0319736,The Legend of Bhagat Singh,2002,07-Jun-02,Biography | Drama | History,Ajay Devgn | Sushant Singh | D. Santosh | Akhilendra Mishra,Rajkumar Santoshi,0,1
tt0321067,Ab Ke Baras,2002,10-May-02,Adventure | Fantasy | Thriller,Arya Babbar | Amrita Rao | Ashutosh Rana | Shakti Kapoor,Raj Kanwar,0,2
tt0322653,Mere Yaar Ki Shaadi Hai,2002,07-Jun-02,Comedy | Drama | Musical,Uday Chopra | Tulip Joshi | Jimmy Shergill | Bipasha Basu,Sanjay Gadhvi,0,5
tt0323013,Lakshya,2004,18-Jun-04,War | Drama | Romance,Amitabh Bachchan | Hrithik Roshan | Preity Zinta | Sharad S. Kapoor,Farhan Akhtar,0,2
